,опыт_лет,возраст,образование,город,язык_программирования,размер_компании,английский,образование_код,зарплата
101,9,36,PhD,Новосибирск,Java,Средняя,B1-B2,2,511.0
142,0,37,Бакалавр,Новосибирск,Python,Средняя,B1-B2,0,279.0
134,7,26,Магистр,Москва,Java,Малая,B1-B2,1,386.0
21,4,47,Бакалавр,Москва,Java,Малая,A1-A2,0,382.0
0,6,24,Магистр,Новосибирск,JavaScript,Малая,C1-C2,1,359.0
18,7,44,Магистр,Москва,JavaScript,Малая,A1-A2,1,395.0
172,2,39,Магистр,СПб,Python,Крупная,A1-A2,1,392.0
150,6,45,Бакалавр,Москва,Python,Малая,B1-B2,0,418.0
70,4,26,Бакалавр,СПб,Python,Малая,B1-B2,0,334.0
140,10,44,Магистр,СПб,JavaScript,Малая,B1-B2,1,485.0
183,6,25,PhD,СПб,C++,Малая,C1-C2,2,404.0
67,9,39,Магистр,СПб,C++,Малая,C1-C2,1,498.0
130,0,39,Бакалавр,Москва,JavaScript,Средняя,B1-B2,0,323.0
61,1,28,PhD,Новосибирск,Java,Средняя,A1-A2,2,304.0
7,4,23,Магистр,Казань,JavaScript,Средняя,A1-A2,1,317.0
50,11,49,Бакалавр,Казань,JavaScript,Средняя,B1-B2,0,460.0
5,7,30,Магистр,Москва,Python,Средняя,B1-B2,1,429.0
193,14,48,Магистр,СПб,JavaScript,Средняя,B1-B2,1,530.0
123,11,23,Бакалавр,Новосибирск,C++,Малая,A1-A2,0,408.0
168,5,38,Бакалавр,СПб,JavaScript,Средняя,C1-C2,0,447.0
118,4,48,Бакалавр,Казань,Python,Малая,B1-B2,0,355.0
189,9,49,PhD,Москва,Python,Средняя,A1-A2,2,477.0
59,8,41,Магистр,Новосибирск,C++,Малая,A1-A2,1,406.0
174,14,41,Бакалавр,Москва,Java,Средняя,B1-B2,0,533.0
163,7,46,Бакалавр,Новосибирск,Python,Малая,B1-B2,0,355.0
184,10,27,Магистр,СПб,C++,Крупная,C1-C2,1,499.0
148,4,47,Бакалавр,Казань,Python,Малая,C1-C2,0,354.0
135,0,37,Бакалавр,СПб,Java,Крупная,B1-B2,0,347.0
100,1,46,Бакалавр,Новосибирск,Java,Средняя,A1-A2,0,295.0
197,12,21,Бакалавр,СПб,Python,Средняя,C1-C2,0,458.0
128,14,39,Бакалавр,Новосибирск,Java,Малая,C1-C2,0,533.0
81,2,21,Бакалавр,Москва,Python,Средняя,B1-B2,0,304.0
89,13,49,Магистр,СПб,Python,Малая,C1-C2,1,578.0
48,13,46,Магистр,Москва,Java,Крупная,C1-C2,1,566.0
90,5,21,Магистр,Москва,Java,Малая,C1-C2,1,390.0
111,8,35,Бакалавр,Казань,JavaScript,Крупная,C1-C2,0,468.0
76,6,43,Бакалавр,Новосибирск,JavaScript,Малая,C1-C2,0,411.0
161,6,24,Магистр,СПб,Java,Малая,A1-A2,1,338.0
1,3,42,Бакалавр,СПб,Python,Крупная,A1-A2,0,365.0
112,13,20,PhD,Казань,Java,Средняя,B1-B2,2,473.0
151,9,35,Магистр,Москва,JavaScript,Средняя,B1-B2,1,494.0
45,13,26,Магистр,СПб,Java,Средняя,B1-B2,1,505.0
6,12,48,Магистр,СПб,JavaScript,Малая,C1-C2,1,484.0
165,2,28,Бакалавр,Новосибирск,JavaScript,Малая,A1-A2,0,267.0
113,7,28,Магистр,СПб,JavaScript,Малая,B1-B2,1,353.0
15,4,29,Бакалавр,Новосибирск,JavaScript,Средняя,C1-C2,0,350.0
146,0,22,PhD,Казань,C++,Малая,C1-C2,2,273.0
119,7,22,Магистр,Новосибирск,JavaScript,Крупная,B1-B2,1,385.0
37,0,44,Магистр,Москва,Java,Средняя,A1-A2,1,326.0
109,6,30,Магистр,Москва,Python,Средняя,C1-C2,1,439.0
68,8,31,Магистр,СПб,JavaScript,Малая,B1-B2,1,416.0
16,3,32,Магистр,Москва,Python,Крупная,B1-B2,1,405.0
53,8,38,Магистр,Москва,Python,Средняя,B1-B2,1,498.0
158,1,35,Бакалавр,СПб,Python,Средняя,B1-B2,0,355.0
177,0,43,Магистр,Москва,C++,Крупная,B1-B2,1,389.0
107,7,25,Бакалавр,Москва,JavaScript,Малая,A1-A2,0,341.0
78,12,46,Бакалавр,СПб,Java,Крупная,C1-C2,0,577.0
63,8,36,Магистр,Новосибирск,C++,Малая,B1-B2,1,448.0
65,13,36,Магистр,СПб,Java,Средняя,B1-B2,1,546.0
29,4,45,PhD,Новосибирск,Java,Средняя,B1-B2,2,419.0
186,14,49,Магистр,Москва,JavaScript,Крупная,B1-B2,1,903.0
188,9,35,Бакалавр,Москва,JavaScript,Малая,B1-B2,0,458.0
69,9,49,Бакалавр,СПб,Python,Средняя,A1-A2,0,432.0
95,12,42,Бакалавр,Казань,JavaScript,Средняя,B1-B2,0,455.0
176,2,20,Магистр,Москва,Java,Малая,B1-B2,1,286.0
80,14,21,Магистр,Москва,Java,Крупная,B1-B2,1,550.0
164,4,42,Магистр,Москва,Python,Средняя,B1-B2,1,438.0
33,5,26,PhD,Новосибирск,C++,Средняя,B1-B2,2,421.0
153,11,39,Бакалавр,СПб,Java,Средняя,C1-C2,0,505.0
149,9,35,Магистр,Москва,Java,Средняя,A1-A2,1,517.0
110,11,35,Магистр,Новосибирск,Python,Крупная,C1-C2,1,527.0
124,11,38,Магистр,Казань,Java,Малая,C1-C2,1,491.0
102,13,25,Магистр,Москва,Java,Средняя,B1-B2,1,475.0
173,4,43,Магистр,Москва,C++,Средняя,C1-C2,1,419.0
47,14,27,Бакалавр,Москва,Java,Малая,B1-B2,0,494.0
36,8,20,PhD,Москва,JavaScript,Средняя,C1-C2,2,433.0
20,5,25,Магистр,СПб,Java,Малая,A1-A2,1,328.0
145,2,29,Магистр,Москва,Java,Малая,C1-C2,1,367.0
160,6,31,Бакалавр,Москва,Python,Крупная,B1-B2,0,445.0
98,9,30,Бакалавр,СПб,JavaScript,Средняя,C1-C2,0,448.0
12,10,41,Бакалавр,Москва,JavaScript,Средняя,C1-C2,0,464.0
22,1,47,Бакалавр,Москва,Python,Средняя,A1-A2,0,347.0
23,7,31,Магистр,Казань,Java,Средняя,B1-B2,1,414.0
9,9,26,Магистр,Казань,Python,Малая,A1-A2,1,378.0
64,11,49,Магистр,Москва,Python,Крупная,B1-B2,1,534.0
126,8,22,Бакалавр,СПб,Java,Малая,B1-B2,0,370.0
26,5,49,Магистр,Казань,Python,Средняя,A1-A2,1,398.0
25,13,39,Бакалавр,Казань,Python,Средняя,B1-B2,0,509.0
86,7,20,Магистр,Новосибирск,Python,Малая,B1-B2,1,350.0
11,6,38,Бакалавр,СПб,Java,Средняя,C1-C2,0,404.0
144,2,49,Бакалавр,Москва,JavaScript,Средняя,A1-A2,0,375.0
191,12,22,Магистр,Москва,JavaScript,Крупная,B1-B2,1,462.0
180,6,36,Бакалавр,Москва,Java,Малая,B1-B2,0,408.0
196,3,37,PhD,СПб,Java,Малая,A1-A2,2,376.0
92,9,31,Магистр,СПб,Python,Средняя,C1-C2,1,476.0
138,7,30,Магистр,СПб,Python,Средняя,B1-B2,1,427.0
