id,bolum_tbolumlerid,adi,teori,uygulama,akts
98,77,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
99,78,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
100,80,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
101,103,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
102,107,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
103,108,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
104,178,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
105,179,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
106,180,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
107,181,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
108,182,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
109,183,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
110,184,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
111,185,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
112,186,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
113,187,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
114,188,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
115,289,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
116,290,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
117,291,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
118,302,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
119,1,İngilizce,4,0,4
120,2,İngilizce,4,0,4
121,3,İngilizce,4,0,4
122,4,İngilizce,4,0,4
123,5,İngilizce,4,0,4
124,6,İngilizce,4,0,4
125,7,İngilizce,4,0,4
126,8,İngilizce,4,0,4
127,9,İngilizce,4,0,4
128,10,İngilizce,4,0,4
129,11,İngilizce,4,0,4
130,12,İngilizce,4,0,4
131,13,İngilizce,4,0,4
132,14,İngilizce,4,0,4
133,15,İngilizce,4,0,4
134,16,İngilizce,4,0,4
135,17,İngilizce,4,0,4
136,18,İngilizce,4,0,4
137,19,İngilizce,4,0,4
138,20,İngilizce,4,0,4
139,21,İngilizce,4,0,4
140,22,İngilizce,4,0,4
141,27,İngilizce,4,0,4
142,28,İngilizce,4,0,4
143,29,İngilizce,4,0,4
144,30,İngilizce,4,0,4
145,35,İngilizce,4,0,4
146,55,İngilizce,4,0,4
147,63,İngilizce,4,0,4
148,75,İngilizce,4,0,4
149,76,İngilizce,4,0,4
150,77,İngilizce,4,0,4
151,78,İngilizce,4,0,4
152,80,İngilizce,4,0,4
153,103,İngilizce,4,0,4
154,107,İngilizce,4,0,4
155,108,İngilizce,4,0,4
156,178,İngilizce,4,0,4
157,179,İngilizce,4,0,4
158,180,İngilizce,4,0,4
159,181,İngilizce,4,0,4
160,182,İngilizce,4,0,4
161,183,İngilizce,4,0,4
162,184,İngilizce,4,0,4
163,185,İngilizce,4,0,4
164,186,İngilizce,4,0,4
165,187,İngilizce,4,0,4
166,188,İngilizce,4,0,4
167,289,İngilizce,4,0,4
168,290,İngilizce,4,0,4
169,291,İngilizce,4,0,4
170,302,İngilizce,4,0,4
