id,fakulte_tfakultelerid,kisaltma,adi
178,6,BilgDestYay_ÖL,Bilgisayar Destekli Yayıncılık Önlisans Programı
179,6,BilgTek_ÖL_İng,Bilgisayar Teknolojisi (UOÖLP-Hackney Community College İngiltere) İngilizce Önlisans Programı
180,6,BilgTek_ÖL(İÖ),Bilgisayar Teknolojisi ve Programlama (İ.Ö.) Önlisans Programı
181,6,BilgTek_ÖL,Bilgisayar Teknolojisi ve Programlama Önlisans Programı
182,6,DışTic_ÖL(İÖ),Dış Ticaret (İ.Ö.) Önlisans Programı
183,6,METEB_ÖL_İÖ,METEB (İ.Ö.) Önlisans Programı
184,6,Muh_ÖL_İÖ,Muhasebe (İ.Ö.) Önlisans Programı
185,6,Muh_ÖL,Muhasebe Önlisans Programı
186,6,MuhVergUyg_ÖL_İÖ,Muhasebe ve Vergi Uygulamaları (İ.Ö.) Önlisans Programı
187,6,Paz_ÖL,Pazarlama Önlisans Programı
188,6,UlLoj_ÖL,Uluslararası Lojistik Önlisans Programı
189,7,AFÇUİ_YL_BH_İng(Tli),Afrika Çalışmaları ve Uluslararası İlişkiler İngilizce Tezli Bilimsel Hazırlık Programı
190,7,AFÇUİ_YL_İng(Tli),Afrika Çalışmaları ve Uluslararası İlişkiler İngilizce Tezli Yüksek Lisans Programı
191,7,AFÇUİ_BH_İng(Tsiz),Afrika Çalışmaları ve Uluslararası İlişkiler İngilizce Tezsiz Bilimsel Hazırlık Programı
192,7,AFÇUİ_YL_İng(Tsiz),Afrika Çalışmaları ve Uluslararası İlişkiler İngilizce Tezsiz Yüksek Lisans Programı
193,7,ADanE_YL_BH(Tli),Aile Danışmanlığı ve Eğitimi Tezli Bilimsel Hazırlık Programı
194,7,ADanE_YL_BH(Tsiz),Aile Danışmanlığı ve Eğitimi Tezsiz Bilimsel Hazırlık Programı
195,7,ADanE_YL(Tsiz),Aile Danışmanlığı ve Eğitimi Tezsiz Yüksek Lisans Programı
196,14,Ban_DR_BH,Bankacılık Doktora Bilimsel Hazırlık Programı
197,7,Ban_YL_BH(Tsiz),Bankacılık ve Finans Tezsiz Bilimsel Hazırlık Programı
198,14,FinEko_DR_,Finansal Ekonomi Doktora Bilimsel Hazırlık Programı
199,7,GayGelKentDönP_YL_BH(Tli),Gayrimenkul Yönetimi Tezli Bilimsel Hazırlık Programı
200,7,GayGelKentDönP_YL(Tli),Gayrimenkul Yönetimi Tezli Yüksek Lisans Programı
201,7,GayGelKentDönP_YL_BH(Tsiz),Gayrimenkul Yönetimi Tezsiz Bilimsel Hazırlık Programı
202,7,GayGelKentDönP_YL(Tsiz),Gayrimenkul Yönetimi Tezsiz Yüksek Lisans Programı
203,7,Halkİlş_YL_BH(Tli),Halkla İlişkiler Tezli Bilimsel Hazırlık Programı
204,7,Halkİlş_YL_BH(Tsiz),Halkla İlişkiler Tezsiz Bilimsel Hazırlık Programı
205,7,Halkİlş_YL(Tsiz),Halkla İlişkiler Tezsiz Yüksek Lisans Programı
206,7,Halkİlş_DR_BH,Halkla İlişkiler ve Reklamcılık Doktora Bilimsel Hazırlık Programı
207,7,Halkİlş_DR,Halkla İlişkiler ve Reklamcılık Doktora Programı
208,7,İkt_YL_BH_İng(Tli),İktisat İngilizce Tezli Bilimsel Hazırlık Programı
209,7,İkt_YL_İng(Tli),İktisat İngilizce Tezli Yüksek Lisans Programı
210,7,İkt_YL_BH_İng(Tsiz),İktisat İngilizce Tezsiz Bilimsel Hazırlık Programı
211,7,İkt_YL_İng(Tsiz),İktisat İngilizce Tezsiz Yüksek Lisans Programı
212,7,İkt_YL_BH(Tli),İktisat Tezli Bilimsel Hazırlık Programı
213,7,İkt_YL_BH(Tsiz),İktisat Tezsiz Bilimsel Hazırlık Programı
214,7,İkt_YL(Tsiz),İktisat Tezsiz Yüksek Lisans Programı
215,7,İky_YL(Tsiz)_Brs,İnsan Kaynakları Yöneticiliği (Bursa) Tezsiz Yüksek Lisans Programı
216,7,İky_YL_BH(Tli),İnsan Kaynakları Yöneticiliği Tezli Bilimsel Hazırlık Programı
217,7,İky_YL_BH(Tsiz),İnsan Kaynakları Yöneticiliği Tezsiz Bilimsel Hazırlık Programı
218,7,İky_YL(Tsiz),İnsan Kaynakları Yöneticiliği Tezsiz Yüksek Lisans Programı
219,7,İşl_YL(Tsiz)_Brs,İşletme (Bursa) Tezsiz Yüksek Lisans Programı
220,7,İşl_DR_BH,İşletme Doktora Bilimsel Hazırlık Programı
221,7,İşl_YL_BH_İng(Tli),İşletme İngilizce Tezli Bilimsel Hazırlık Programı
222,7,İşl_YL_BH_İng(Tsiz),İşletme İngilizce Tezsiz Bilimsel Hazırlık Programı
223,7,İşl_YL_İng(Tsiz),İşletme İngilizce Tezsiz Yüksek Lisans Programı
224,7,İşl_YL_BH(Tli),İşletme Tezli Bilimsel Hazırlık Programı
225,7,İşl_YL_BH(Tsiz),İşletme Tezsiz Bilimsel Hazırlık Programı
226,7,İşl_YL(Tsiz),İşletme Tezsiz Yüksek Lisans Programı
227,7,İşlYön_YL(Tli),İşletme Yönetimi Tezli Yüksek Lisans Programı
228,7,KamHuk_YL_BH(Tli),Kamu Hukuku Tezli Bilimsel Hazırlık Programı
229,7,KamHuk_YL_BH(Tsiz),Kamu Hukuku Tezsiz Bilimsel Hazırlık Programı
230,7,KamHuk_YL(Tsiz),Kamu Hukuku Tezsiz Yüksek Lisans Programı
231,7,Loj_YL_BH(Tli),Lojistik Yönetimi Tezli Bilimsel Hazırlık Programı
232,7,Loj_YL(Tli),Lojistik Yönetimi Tezli Yüksek Lisans Programı
233,7,Loj_YL_BH(Tsiz),Lojistik Yönetimi Tezsiz Bilimsel Hazırlık Programı
234,7,Loj_YL(Tsiz),Lojistik Yönetimi Tezsiz Yüksek Lisans Programı
235,7,Medİlt_DR_BH,Medya ve İletişim Çalışmaları Doktora Bilimsel Hazırlık Programı
236,7,Medİlt_DR,Medya ve İletişim Çalışmaları Doktora Programı
237,7,Medİlt_BH(Tli),Medya ve İletişim Sistemleri Tezli Bilimsel Hazırlık Programı
238,7,Medİlt_BH(Tsiz),Medya ve İletişim Sistemleri Tezsiz Bilimsel Hazırlık Programı
239,7,Medİlt_YL(Tsiz),Medya ve İletişim Sistemleri Tezsiz Yüksek Lisans Programı
240,7,MuhDen_YL(Tsiz)_Brs,Muhasebe ve Denetim (Bursa) Tezsiz Yüksek Lisans Programı
241,7,MuhDen_DR_BH,Muhasebe ve Denetim Doktora Bilimsel Hazırlık Programı
242,7,MuhDen_BH(Tli),Muhasebe ve Denetim Tezli Bilimsel Hazırlık Programı
243,7,MuhDen_BH(Tsiz),Muhasebe ve Denetim Tezsiz Bilimsel Hazırlık Programı
244,7,MuhDen_YL(Tsiz),Muhasebe ve Denetim Tezsiz Yüksek Lisans Programı
245,7,ÖzHuk_DR_BH,Özel Hukuk Doktora Bilimsel Hazırlık Programı
246,7,ÖzHuk_DR,Özel Hukuk Doktora Programı
247,7,ÖzHuk_BH(Tsiz),Özel Hukuk Tezsiz Bilimsel Hazırlık Programı
248,7,ÖzHuk_YL(Tsiz),Özel Hukuk Tezsiz Yüksek Lisans Programı
249,7,ÖzlÖğrSBE_BH,Özel Öğrenci (SBE) Doktora Bilimsel Hazırlık Programı
250,7,ÖzlÖğrSBE_DR,Özel Öğrenci (SBE) Doktora Programı
251,7,ÖzlÖğrSBE_BH(Tsiz),Özel Öğrenci (SBE) Tezsiz Bilimsel Hazırlık Programı
252,7,ÖzlÖğrSBE_YL(Tsiz),Özel Öğrenci (SBE) Tezsiz Yüksek Lisans Programı
253,7,RehPsiDan_YL(Tsiz)_Brs,Rehberlik ve Psikolojik Danışmanlık (Bursa) Tezsiz Yüksek Lisans Programı
254,7,RehPsiDan_BH(Tsiz),Rehberlik ve Psikolojik Danışmanlık Tezsiz Bilimsel Hazırlık Programı
255,7,RehPsiDan_YL(Tsiz),Rehberlik ve Psikolojik Danışmanlık Tezsiz Yüksek Lisans Programı
256,14,SigRiskY_B,Sirta ve Risk Yönetimi Tezli Bilimsel Hazırlık Programı
257,14,SigRiskY_B,Sirta ve Risk Yönetimi Tezsiz Bilimsel Hazırlık Programı
258,14,SigRiskY_Y,Sirta ve Risk Yönetimi Tezsiz Yüksek Lisans Programı
259,14,Sig_BH(Tsi,Sirtacılık Tezsiz Bilimsel Hazırlık Programı
260,7,Turİşl_BH(Tli),Turizm İşletmeciliği Tezli Bilimsel Hazırlık Programı
261,7,Turİşl_YL(Tli),Turizm İşletmeciliği Tezli Yüksek Lisans Programı
262,7,Turİşl_BH(Tsiz),Turizm İşletmeciliği Tezsiz Bilimsel Hazırlık Programı
263,7,Turİşl_YL(Tsiz),Turizm İşletmeciliği Tezsiz Yüksek Lisans Programı
264,14,UlBanF_BH(Tli),Uluslararası Bankacılık ve Finans Tezli Bilimsel Hazırlık Programı
265,14,UlBanF_YL(Tli),Uluslararası Bankacılık ve Finans Tezli Yüksek Lisans Programı
266,14,UlBanF_BH(Tsiz),Uluslararası Bankacılık ve Finans Tezsiz Bilimsel Hazırlık Programı
267,14,UlBanF_YL(Tsiz),Uluslararası Bankacılık ve Finans Tezsiz Yüksek Lisans Programı
268,7,Uli_BH(Tli),Uluslararası İlişkiler Tezli Bilimsel Hazırlık Programı
269,7,Uli_BH(Tsiz),Uluslararası İlişkiler Tezsiz Bilimsel Hazırlık Programı
270,7,Uli_YL(Tsiz),Uluslararası İlişkiler Tezsiz Yüksek Lisans Programı
271,7,Ulİşl_BH(Tli),Uluslararası İşletme Tezli Bilimsel Hazırlık Programı
272,7,Ulİşl_Yl(Tli),Uluslararası İşletme Tezli Yüksek Lisans Programı
273,7,Ulİşl_BH(Tsiz),Uluslararası İşletme Tezsiz Bilimsel Hazırlık Programı
274,7,Ulİşl_YL(Tsiz),Uluslararası İşletme Tezsiz Yüksek Lisans Programı
275,7,UlTic_DR_BH,Uluslararası Ticaret (SBE) Doktora Bilimsel Hazırlık Programı
276,7,UlTic_BH(Tli),Uluslararası Ticaret (SBE) Tezli Bilimsel Hazırlık Programı
277,7,UlTic_BH(Tsiz),Uluslararası Ticaret (SBE) Tezsiz Bilimsel Hazırlık Programı
278,7,UlTic_YL(Tsiz),Uluslararası Ticaret (SBE) Tezsiz Yüksek Lisans Programı
279,9,UlTicHukAB_BH(Tli),Uluslararası Ticaret Hukuku ve Avrupa Birliği Tezli Bilimsel Hazırlık Programı
280,9,UlTicHukAB_BH(Tsiz),Uluslararası Ticaret Hukuku ve Avrupa Birliği Tezsiz Bilimsel Hazırlık Programı
281,9,UlTicHukAB_YL(Tsiz),Uluslararası Ticaret Hukuku ve Avrupa Birliği Tezsiz Yüksek Lisans Programı
282,9,UlTicABHuk_DR_BH,Uluslararası Ticaret ve Avrupa Birliği Hukuku Doktora Bilimsel Hazırlık Programı
283,7,UygPsi_YL(Tsiz)_Brs,Uygulamalı Psikoloji (Bursa) Tezsiz Yüksek Lisans Programı
284,7,UygPsi_BH(Tsiz),Uygulamalı Psikoloji Tezsiz Bilimsel Hazırlık Programı
285,7,UygSos_BH(Tli),Uygulamalı Sosyoloji Tezli Bilimsel Hazırlık Programı
286,7,UygSos_YL(Tli),Uygulamalı Sosyoloji Tezli Yüksek Lisans Programı
287,7,UygSos_BH(Tsiz),Uygulamalı Sosyoloji Tezsiz Bilimsel Hazırlık Programı
288,7,UygSos_YL(Tsiz),Uygulamalı Sosyoloji Tezsiz Yüksek Lisans Programı
289,1,İkt_L,İktisat Lisans Programı
290,4,SiyBUlİ_L,Siyaset Bilimi ve Uluslararası İlişkiler Lisans Programı
291,10,Turİşl_L(UBF),Turizm İşletmeciliği (UBF) Lisans Programı
292,4,PedFor_Y,Pedajik Formasyon Yaz Programı
293,7,İşl_YL_BH(Tsiz)_Brs,İşletme (Bursa) Tezsiz Bilimsel Hazırlık Programı
294,7,RehPsiDan_BH(Tsiz)_Brs,Rehberlik ve Psikolojik Danışmanlık (Bursa) Tezsiz Bilimsel Hazırlık Programı
295,4,PedFor_G,Pedajik Formasyon Güz Programı
296,4,PedFor_B,Pedajik Formasyon Bahar Programı
297,13,EkYbnDil,Ek Yabancı Diller
298,13,L5,Level 5
299,14,SRYD,Sirta ve Risk Yönetimi Doktora Programı
300,7,RSMİT_YL(Tli),Reklam ve Stratejik Marka İletişimi Tezli Yüksek Lisans Programı
301,7,RSMİY_YL(Tsiz),Reklam ve Stratejik Marka İletişimi Tezsiz Yüksek Lisans Programı
302,2,REK_L,Reklamcılık Lisans Programı
303,14,Bank_YL(Tsiz),Bankacılık Tezsiz Yüksek Lisans Programı
304,14,SermPiys_YL(Tsiz),Sermaye Piyasası Tezsiz Yüksek Lisans Programı
305,8,İst_DR,İstatistik Doktora Programı
306,7,"SanPolTekYön_YL(Tli),",Sanayi Politikaları ve Teknoloji Yönetimi Tezli Yüksek Lisans Programı
307,7,SanPolTekYön_YL(Tsiz),Sanayi Politikaları ve Teknoloji Yönetimi Tezsiz Yüksek Lisans Programı
308,7,"SanPolTekYön_BH(Tli),",Sanayi Politikaları ve Teknoloji Yönetimi Tezli Bilimesl Hazırlık Yüksek Lisans Programı
309,7,"SanPolTekYön_BH(Tsiz),",Sanayi Politikaları ve Teknoloji Yönetimi Tezsiz Bilimsel Hazırlık Yüksek Lisans Programı
310,7,"",Sinema Tezli Yüksek Lisans Programı
311,7,"",Sinema Tezsiz Yüksek Lisans Programı
313,1,TUR-OTE-YÖN_İŞL,Turizm ve Otel Yöneticiliği Bölümü
314,1,HVC_İŞL,Havacılık Yönetimi Bölümü
315,1,ULS-LOJ_İŞL,Uluslararası Lojistik Bölümü
316,2,H-İ-R_İLET,Halkla İlişkiler ve Reklamcılık Bölümü
318,3,İNŞA_MÜH,İnşaat Mühendisliği Bölümü
319,8,Ken.Sis.Ulş.Yön.Tli.YL,Kentsel Sistemler ve Ulaştırma Yönetimi Tezli Yüksek Lisans Programı
320,8,Ken.Sis.Ulş.Yön.Tsiz.YL,Kentsel Sistemler ve Ulaştırma Yönetimi Tezsiz Yüksek Lisans Programı
