,опыт_лет,возраст,образование,город,язык_программирования,размер_компании,английский,образование_код,зарплата
6,12,48,Магистр,СПб,JavaScript,Малая,C1-C2,1,484.0
198,3,41,Бакалавр,Москва,C++,Малая,B1-B2,0,402.0
71,1,21,Бакалавр,СПб,JavaScript,Малая,C1-C2,0,263.0
27,1,49,Бакалавр,Москва,Java,Средняя,B1-B2,0,377.0
117,14,35,Бакалавр,Новосибирск,Python,Малая,A1-A2,0,493.0
44,14,22,PhD,Москва,Python,Малая,B1-B2,2,473.0
164,4,42,Магистр,Москва,Python,Средняя,B1-B2,1,438.0
19,2,40,Магистр,Казань,C++,Средняя,B1-B2,1,583.5
127,12,38,Бакалавр,Москва,Java,Средняя,B1-B2,0,458.0
195,0,33,Бакалавр,Москва,C++,Крупная,B1-B2,0,362.0
167,7,22,Бакалавр,Москва,JavaScript,Средняя,B1-B2,0,312.0
1,3,42,Бакалавр,СПб,Python,Крупная,A1-A2,0,365.0
2,12,26,Магистр,СПб,C++,Крупная,B1-B2,1,485.0
48,13,46,Магистр,Москва,Java,Крупная,C1-C2,1,566.0
23,7,31,Магистр,Казань,Java,Средняя,B1-B2,1,414.0
26,5,49,Магистр,Казань,Python,Средняя,A1-A2,1,398.0
15,4,29,Бакалавр,Новосибирск,JavaScript,Средняя,C1-C2,0,350.0
129,12,26,Бакалавр,СПб,Java,Средняя,B1-B2,0,420.0
154,6,47,PhD,Москва,JavaScript,Крупная,C1-C2,2,490.0
90,5,21,Магистр,Москва,Java,Малая,C1-C2,1,390.0
100,1,46,Бакалавр,Новосибирск,Java,Средняя,A1-A2,0,295.0
171,0,22,Магистр,Москва,Java,Малая,C1-C2,1,264.0
94,5,25,Магистр,Новосибирск,Java,Крупная,B1-B2,1,382.0
31,11,47,Бакалавр,Москва,Java,Крупная,B1-B2,0,549.0
70,4,26,Бакалавр,СПб,Python,Малая,B1-B2,0,334.0
104,13,24,Бакалавр,Москва,JavaScript,Малая,A1-A2,0,439.0
158,1,35,Бакалавр,СПб,Python,Средняя,B1-B2,0,355.0
103,3,43,Магистр,Москва,C++,Средняя,B1-B2,1,381.0
178,4,39,PhD,Москва,Python,Крупная,A1-A2,2,462.0
14,7,21,PhD,СПб,Java,Средняя,C1-C2,2,409.0
7,4,23,Магистр,Казань,JavaScript,Средняя,A1-A2,1,317.0
89,13,49,Магистр,СПб,Python,Малая,C1-C2,1,578.0
28,11,30,PhD,Москва,Python,Малая,B1-B2,2,504.0
185,8,39,Бакалавр,Москва,Java,Малая,C1-C2,0,471.0
169,10,35,Магистр,Новосибирск,Java,Крупная,B1-B2,1,492.0
122,11,46,Бакалавр,Казань,Java,Малая,B1-B2,0,444.0
191,12,22,Магистр,Москва,JavaScript,Крупная,B1-B2,1,462.0
137,7,20,Магистр,Казань,JavaScript,Средняя,C1-C2,1,370.0
88,1,38,Бакалавр,СПб,Java,Малая,A1-A2,0,300.0
34,12,49,Бакалавр,Новосибирск,Java,Малая,A1-A2,0,449.0
96,14,23,Магистр,Новосибирск,Python,Малая,B1-B2,1,455.0
141,2,44,Бакалавр,СПб,Java,Крупная,B1-B2,0,360.0
75,11,36,Магистр,Москва,Python,Малая,A1-A2,1,479.0
102,13,25,Магистр,Москва,Java,Средняя,B1-B2,1,475.0
64,11,49,Магистр,Москва,Python,Крупная,B1-B2,1,534.0
60,6,43,Магистр,Москва,Python,Средняя,A1-A2,1,415.0
8,6,32,Магистр,Казань,Python,Крупная,B1-B2,1,433.0
181,14,27,Магистр,Москва,JavaScript,Средняя,B1-B2,1,527.0
132,6,20,Бакалавр,СПб,Python,Малая,A1-A2,0,279.0
10,2,46,Бакалавр,Москва,Java,Средняя,C1-C2,0,417.0
32,9,44,Бакалавр,Казань,Python,Малая,C1-C2,0,421.0
134,7,26,Магистр,Москва,Java,Малая,B1-B2,1,386.0
170,2,35,Магистр,СПб,Python,Малая,B1-B2,1,377.0
160,6,31,Бакалавр,Москва,Python,Крупная,B1-B2,0,445.0
17,7,49,Магистр,Москва,Python,Средняя,C1-C2,1,487.0
107,7,25,Бакалавр,Москва,JavaScript,Малая,A1-A2,0,341.0
68,8,31,Магистр,СПб,JavaScript,Малая,B1-B2,1,416.0
192,2,44,Бакалавр,Москва,Java,Крупная,B1-B2,0,391.0
72,3,22,Магистр,СПб,C++,Крупная,C1-C2,1,383.0
124,11,38,Магистр,Казань,Java,Малая,C1-C2,1,491.0
182,13,23,Бакалавр,Новосибирск,Python,Средняя,A1-A2,0,478.0
99,11,43,Бакалавр,СПб,Java,Малая,A1-A2,0,463.0
25,13,39,Бакалавр,Казань,Python,Средняя,B1-B2,0,509.0
175,13,43,Бакалавр,Москва,Java,Средняя,A1-A2,0,553.0
133,8,27,Магистр,Москва,C++,Малая,C1-C2,1,463.0
81,2,21,Бакалавр,Москва,Python,Средняя,B1-B2,0,304.0
113,7,28,Магистр,СПб,JavaScript,Малая,B1-B2,1,353.0
155,8,36,PhD,СПб,C++,Малая,B1-B2,2,466.0
111,8,35,Бакалавр,Казань,JavaScript,Крупная,C1-C2,0,468.0
18,7,44,Магистр,Москва,JavaScript,Малая,A1-A2,1,395.0
33,5,26,PhD,Новосибирск,C++,Средняя,B1-B2,2,421.0
82,13,47,Бакалавр,СПб,Python,Средняя,A1-A2,0,492.0
140,10,44,Магистр,СПб,JavaScript,Малая,B1-B2,1,485.0
183,6,25,PhD,СПб,C++,Малая,C1-C2,2,404.0
176,2,20,Магистр,Москва,Java,Малая,B1-B2,1,286.0
59,8,41,Магистр,Новосибирск,C++,Малая,A1-A2,1,406.0
121,8,47,Бакалавр,СПб,Java,Средняя,A1-A2,0,412.0
149,9,35,Магистр,Москва,Java,Средняя,A1-A2,1,517.0
30,0,42,PhD,Москва,Python,Малая,B1-B2,2,358.0
196,3,37,PhD,СПб,Java,Малая,A1-A2,2,376.0
146,0,22,PhD,Казань,C++,Малая,C1-C2,2,273.0
105,14,39,Бакалавр,Казань,C++,Крупная,C1-C2,0,576.0
126,8,22,Бакалавр,СПб,Java,Малая,B1-B2,0,370.0
76,6,43,Бакалавр,Новосибирск,JavaScript,Малая,C1-C2,0,411.0
35,11,20,PhD,Казань,JavaScript,Крупная,A1-A2,2,401.0
45,13,26,Магистр,СПб,Java,Средняя,B1-B2,1,505.0
73,11,36,Бакалавр,Новосибирск,Java,Малая,B1-B2,0,463.0
3,14,32,Бакалавр,СПб,C++,Средняя,C1-C2,0,554.0
144,2,49,Бакалавр,Москва,JavaScript,Средняя,A1-A2,0,375.0
142,0,37,Бакалавр,Новосибирск,Python,Средняя,B1-B2,0,279.0
187,14,22,Магистр,Москва,C++,Средняя,A1-A2,1,519.0
194,6,37,Бакалавр,Москва,C++,Средняя,B1-B2,0,434.0
120,9,39,Бакалавр,Новосибирск,JavaScript,Крупная,A1-A2,0,429.0
83,0,41,Магистр,Москва,JavaScript,Малая,A1-A2,1,305.0
84,3,42,Магистр,СПб,Python,Малая,A1-A2,1,349.0
92,9,31,Магистр,СПб,Python,Средняя,C1-C2,1,476.0
108,13,41,Магистр,СПб,C++,Крупная,C1-C2,1,602.0
114,4,47,Магистр,СПб,Python,Малая,A1-A2,1,400.0
116,1,25,Бакалавр,Москва,Python,Средняя,B1-B2,0,292.0
51,6,24,Магистр,СПб,Python,Средняя,B1-B2,1,357.0
38,10,46,Бакалавр,Казань,Python,Малая,C1-C2,0,467.0
56,2,43,Бакалавр,Москва,Python,Крупная,B1-B2,0,394.0
29,4,45,PhD,Новосибирск,Java,Средняя,B1-B2,2,419.0
139,14,47,Магистр,Новосибирск,C++,Средняя,C1-C2,1,534.0
165,2,28,Бакалавр,Новосибирск,JavaScript,Малая,A1-A2,0,267.0
109,6,30,Магистр,Москва,Python,Средняя,C1-C2,1,439.0
148,4,47,Бакалавр,Казань,Python,Малая,C1-C2,0,354.0
161,6,24,Магистр,СПб,Java,Малая,A1-A2,1,338.0
